account,total_pnl,avg_pnl,pnl_std,total_trades,avg_fee,total_volume,long_ratio
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,419.1277684596647,4692.452328769463,3818,1.9395789167103195,61697263.97,0.4481403876375065
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,6.5776539167582415,134.07347277629353,7280,0.37497773194093403,12035487.66,0.41964285714285715
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,-18.49204287687057,542.1826592941622,3809,2.436593029666579,33873440.42,0.4111315305854555
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,9.951529904139434,113.26935264594304,13311,0.16665670246043873,6757022.1,0.5032679738562091
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,52.0710111126891,255.82909123366827,3239,0.9596161537511578,10166880.2,0.36400123494905834
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,-38.28662574969325,558.7787526232372,815,0.18045983236809818,1409902.0,0.2233128834355828
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999997,4.0281190682641395,730.495483644371,3589,0.40642438731401503,17193375.42,0.4591808303148509
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,161.13327482831323,1279.8557881354639,332,0.5309463130030121,1143896.46,0.5120481927710844
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,520.9023308929503,2228.336140282739,383,0.6996529738355091,1987527.6099999999,0.26370757180156656
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,336.735547567502,1649.4975803457908,1237,0.6038859587712208,2966109.22,0.24413904607922393
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,12.130967972884141,88.29284150392282,8519,0.14448251217066557,4408828.9,0.47845991313534453
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,155.58931373806246,855.3540027082513,4356,1.842514323735078,39572949.25,0.4855371900826446
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,40.740489150316456,656.6936282172401,7584,5.36978736853903,129672529.28,0.5501054852320675
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,68.68441935403726,639.4024436908079,12236,6.245884512233573,420876556.36,0.5204315135665251
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,111.51919668923077,468.9959817825797,975,0.19162674557169232,728057.51,0.3723076923076923
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,270.0349471163522,2525.2404372348287,1590,0.9757467083584905,11474500.92,0.37610062893081764
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,403011.504159,281.8262266846154,1591.523957653427,1430,0.20280492878321676,3051144.33,0.44685314685314687
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,38.3195599627009,172.52077341762578,9893,0.26233287594056404,25729497.24,0.4982310724754877
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,9.557692781911483,72.5611952371814,1559,0.5004598479538165,5844484.45,0.44323284156510584
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.124781,-36.43145507085416,1647.7789842055993,4601,0.3432700395392306,10143758.13,0.49163225385785697
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,34.2823955552067,325.75560971336085,1911,1.7712622807849294,11999173.37,0.6043956043956044
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,2.928191023869849,68.6130409480178,14998,0.25286992235431394,12304786.84,0.46432857714361914
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,41.47409637418087,220.3877348338997,3052,0.9246260810157274,10992355.74,0.6893840104849279
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,6.81210350887536,68.2349036218229,15605,0.14661681724474207,19868207.98,0.6397308554950336
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,174.6918088057554,976.068751360001,417,0.4554868213669065,861809.4,0.37410071942446044
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,120.50731710657195,474.8098365007934,563,0.9746523350088809,1677425.72,0.5896980461811723
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,40.746875941947565,288.26612386189584,534,1.0145048866037452,4448323.26,0.5692883895131086
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,145.48174829898866,1374.0264020518678,14733,1.0856796478531188,56543565.23,0.4549650444580194
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,4.648305254443986,332.0834053908585,4838,5.920457568210004,108877041.1,0.48945845390657294
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,44.364090516232544,567.7627628499143,21192,0.40565806276986605,68036340.24,0.528265383163458
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.061853,83.49831952025748,1530.5250331047494,2641,1.8073072640780008,20737391.71,0.45172283226050736
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,20.806304824731235,264.1238803160226,40184,0.3322939405970038,74107810.44,0.43333167429822816
